Label	Question	Meta	Answer	URL	View	Category	Subcategory	Subcat 1	Subcat 2	Subcat 3	Subcat 4	Subcat 5	Subcat 6	Subcat 7	Subcat 8	Subcat 9	Last Edited	Editing User
																		
contactzaweb			&url:http://avios.faq-help.com/gb/en_gb/resources/contactus_za_nochat.html		ZAWEB	Synthetix	Contact										23/08/2013	George
contactgbweb		"contact, opening, telephone, email, post, address, speak, call, phone, helpline, sales, customer service, help, support, chat, webchat, mail, mailing, communication, marketing, agent, number, "	&url:http://avios.faq-help.com/resources/contactus_new.html		GBWEB	Synthetix	Contact										12/12/2013	
contactgbmob		"call, phone, email, address, telephone, number"	"Contact UsBy PhoneTo speak to someone, just call us on: 0844 49 333 93*.We are open:Monday to Friday: 8am - 8pmSaturday: 9am - 5pmSunday: 10am - 4pmNot in the UK? Call 00 44 1925 848 693.Please note: calls may be recorded for training purposes.Calls cost 5.2p per minute plus a 13.1p one off connection charge from BT unlimited weekend plan. Mobile and other providers may vary.*If you complete a booking by phone which could have been made online you may incur additional booking fees.By PostAVIOS, PO Box 90, Birchwood, Warrington, WA3 7WE "		GBMOB	Synthetix	Contact										31/03/2014	George
contactmob		"contact, opening, telephone, email, post, address, speak, call, phone, helpline"	"Contact UsBy PhoneTo speak to someone, just call us on: 0844 49 333 93*.We are open:Monday to Friday: 8am - 8pmSaturday: 9am - 5pmSunday: 10am - 4pmNot in the UK? Call 00 44 1925 848 693.Please note: calls may be recorded for training purposes.Calls cost 5.2p per minute plus a13.1p one off connection charge from BT unlimited weekend plan. Mobile and other providers may vary.* If you complete a booking by phone which could have been made online you may incur additional booking fees.By PostAVIOS, PO Box 90, Birchwood, Warrington, WA3 7WE"		GBMOB	Synthetix	Contact										31/03/2014	George
contactzamob		"contact, opening, telephone, email, post, address, speak, call, phone, "	"Contact UsBy PhoneTo speak to someone, just call us on 0860-0-28467.We are open: Monday to Friday: 8am - 6.30pm. Saturday, Sunday and bank holidays: 9am - 1pm.Not in South Africa? Call us on 0027 (0) 10 241 1369.Please note: calls may be recorded for training purposes.Callers pay for the local portion of the ShareCall 0860 call at normal Telkom local call (0-50km) rates. The standard Telkom rate for a local call is 42c per minute during Standard Time (Mon - Fri 07.00 - 19.00) and 21c per minute during CallMore Time (Mon - Fri 19.00 - 07.00 and Fri - Mon 19.00 - 07.00), with a minimum charge of 57c per call (excludes calls from cell phones and other licensed operators).For calls made beyond the local call radius of 50km, the caller still pays the local rate, while Avios will be liable for the ShareCall 0860 long distance rate, less the minimum charge for calls terminating on the Telkom network, which is 57c, to a minimum of 0c per call."		ZAMOB	Synthetix	Contact										04/10/2013	
intro			Welcome to the Avios FAQs toolType your question above and click on one of the drop down questions or Go to get your answer.			Synthetix	Intro										16/08/2013	George
introzaweb			Welcome to the Avios FAQs toolType your question above and click on one of the drop down questions or Go to get your answer.		ZAWEB	Synthetix	Intro										16/08/2013	George
introzamob			Type your question above or click on one of the suggested questions below to get your answer.		ZAMOB	Synthetix	Intro										16/08/2013	George
introgbmob			Type your question above or click on one of the suggested questions below to get your answer.		GBMOB	Synthetix	Intro										16/08/2013	George
introgbweb			Welcome to the Avios FAQs toolType your question above and click on one of the drop down questions or Go to get your answer.		GBWEB	Synthetix	Intro										16/08/2013	George
contact			&url:http://avios.faq-help.com/resources/contactus_new.html			Synthetix	Contact										16/08/2013	George
qed064	How do I contact Avios?	"hello, hi, talk, contact, phone, telephone, speak, web chat, chat, ring, call"	"Contact Us By PhoneTo speak to someone, just call us on: 0844 49 333 99*.We are open:Monday to Friday: 8am - 8pmSaturday: 9am - 5pmSunday: 10am - 4pmNot in the UK? Call 00 44 1925 848 693.Please note: calls may be recorded for training purposes. Calls cost 7p per minute, plus your phone company's access charge. Mobile and other providers may vary.*If you complete a booking by phone which could have been made online you may incur additional booking fees.By PostAVIOS, PO Box 90, Birchwood, Warrington, WA3 7WE"		GBMOB	Synthetix	Contact										06/10/2015	Alicia Price
